bookNum,title,author,version,rollNum,roll,rollName,entryNum,entry
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,,,,,
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,1.0,賦
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,2.0,　思親賦
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,3.0,　藥房賦
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,4.0,　詠歸亭賦
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,5.0,四言詩
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,6.0,　義烏括田詩
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,7.0,　囗州新城詩
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,8.0,　存存齋詩
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,9.0,五言詩
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,10.0,　家居二首
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,11.0,　寄贈申屠教諭
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,12.0,　贈別高進道赴廣西憲府
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,13.0,　次韻孫道士思仙
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,14.0,　贈別李千戶
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,15.0,　常熟西郊
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,16.0,　金德元西園宴集
1,王忠文公文集 二十四卷,王禕(1322-1373),明嘉靖元年金華府刊萬曆七年修補本,1.0,卷之一,,17.0,　鎮江望京硯山有作
